Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
22693203,"Dorothy Must Die (Dorothy Must Die, #1)",Danielle  Paige,"Paige, Danielle",,"=""0062280686""","=""9780062280688""",0,3.79,HarperCollins,Paperback,452,2015,2014,,2017/04/16,,,read,,,,1,0
26030741,"Sword Art Online, Vol. 7: Mother's Rosario (Sword Art Online Light Novels, #7)",Reki Kawahara,"Kawahara, Reki",,"=""0316390402""","=""9780316390408""",0,4.38,Yen On,Paperback,216,2016,2011,,2020/01/08,,,read,,,,1,0
25318828,"Sword Art Online, Vol. 6: Phantom Bullet (Sword Art Online Light Novels, #6)",Reki Kawahara,"Kawahara, Reki",,"=""0316296457""","=""9780316296458""",0,4.35,Yen On,Paperback,312,2015,2010,,2020/01/08,,,read,,,,1,0
23731869,"Sword Art Online, Vol. 5: Phantom Bullet (Sword Art Online Light Novels, #5)",Reki Kawahara,"Kawahara, Reki",,"=""0316296449""","=""9780316296441""",0,4.28,Yen On,Paperback,216,2015,2010,,2020/01/08,,,read,,,,1,0
22875088,"Sword Art Online, Vol. 4: Fairy Dance (Sword Art Online Light Novels, #4)",Reki Kawahara,"Kawahara, Reki",,"=""0316296430""","=""9780316296434""",0,4.16,Yen On,Paperback,216,2015,2010,,2020/01/08,,,read,,,,1,0
21920950,"Sword Art Online, Vol. 3: Fairy Dance  (Sword Art Online Light Novels, #3)",Reki Kawahara,"Kawahara, Reki",,"=""0316296422""","=""9780316296427""",0,4.12,Yen On,Paperback,216,2014,2009,,2020/01/08,,,read,,,,1,0
19539103,"Sword Art Online, Vol. 2: Aincrad (Sword Art Online Light Novels, #2)",Reki Kawahara,"Kawahara, Reki",,"=""0316376817""","=""9780316376815""",0,4.19,Yen On,Paperback,264,2014,2009,,2020/01/08,,,read,,,,1,0
18513556,"Sword Art Online, Vol. 1: Aincrad (Sword Art Online Light Novels, #1)",Reki Kawahara,"Kawahara, Reki",,"=""0316371246""","=""9780316371247""",0,4.27,Yen On,Paperback,264,2014,2009,,2020/01/08,,,read,,,,1,0
7664041,"Inheritance (The Inheritance Cycle, #4)",Christopher Paolini,"Paolini, Christopher",,"=""0375856110""","=""9780375856112""",5,4.17,Alfred A. Knopf,Hardcover,849,2011,2011,,2020/01/08,,,read,,,,1,0
2248573,"Brisingr (The Inheritance Cycle, #3)",Christopher Paolini,"Paolini, Christopher",,"=""0375826726""","=""9780375826726""",4,4.11,Alfred A. Knopf,Hardcover,748,2008,2008,,2020/01/08,,,read,,,,1,0
