Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
30522359,Narraciones completas,Alexander Pushkin,"Pushkin, Alexander",Amaya Lacasa,"=""8490651175""","=""9788490651179""",0,4.24,Alba Editorial,Paperback,568,2015,,,2024/03/24,to-read,to-read (#62),to-read,,,,0,0
31441496,Séneca (Biblioteca Grandes Pensadores nº 32) (Spanish Edition),Lucio Anneo Séneca,"Séneca, Lucio Anneo","Juan Mariné Isidro, Ismael Roca Meliá, Juan Manuel Diaz Torres","=""8424930355""","=""9788424930356""",0,4.37,Gredos,Kindle Edition,1133,2016,64,,2024/03/24,to-read,to-read (#61),to-read,,,,0,0
932449,"History of the Later Roman Empire, Ad 284-641: The Transformation of the Ancient World",Stephen  Mitchell,"Mitchell, Stephen",,"=""1405108568""","=""9781405108560""",0,3.78,Blackwell Pub,Paperback,469,2006,2006,,2024/03/24,to-read,to-read (#60),to-read,,,,0,0
20240154,A History of the Hellenistic World: 323 - 30 BC (Blackwell History of the Ancient World Book 16),Robert Malcolm Errington,"Errington, Robert Malcolm",,"=""""","=""""",0,3.77,Wiley-Blackwell,Kindle Edition,369,2011,1991,,2024/03/24,to-read,to-read (#59),to-read,,,,0,0
18925668,"A History of the Archaic Greek World, ca. 1200-479 BCE (Blackwell History of the Ancient World)",Jonathan M. Hall,"Hall, Jonathan M.",,"=""""","=""""",0,3.79,Wiley-Blackwell,Kindle Edition,394,2013,2006,,2024/03/24,to-read,to-read (#58),to-read,,,,0,0
19863204,"A History of Greece, 1300 to 30 BC (Blackwell History of the Ancient World)",Victor Parker,"Parker, Victor",,"=""""","=""""",0,3.53,Wiley-Blackwell,Kindle Edition,505,2013,2013,,2024/03/24,to-read,to-read (#57),to-read,,,,0,0
37458978,"A History of Babylon, 2200 BC - AD 75 (Blackwell History of the Ancient World)",Paul-Alain Beaulieu,"Beaulieu, Paul-Alain",,"=""1119459117""","=""9781119459118""",0,4.20,Wiley-Blackwell,Kindle Edition,302,2017,,,2024/03/24,to-read,to-read (#56),to-read,,,,0,0
619903,"A History of the Classical Greek World, 478 - 323 BC (Blackwell History of the Ancient World)",P.J. Rhodes,"Rhodes, P.J.",,"=""063122565X""","=""9780631225652""",0,3.62,Wiley-Blackwell,Paperback,424,2005,2005,,2024/03/24,to-read,to-read (#55),to-read,,,,0,0
412802,A History of Byzantium (Blackwell History of the Ancient World),Timothy E. Gregory,"Gregory, Timothy E.",,"=""0631235132""","=""9780631235132""",0,3.93,John Wiley & Sons,Paperback,400,2005,2005,,2024/03/24,to-read,to-read (#54),to-read,,,,0,0
54316569,A History of Ancient Persia: The Achaemenid Empire (Blackwell History of the Ancient World),Maria Brosius,"Brosius, Maria",,"=""1444350927""","=""9781444350920""",0,3.88,Wiley-Blackwell,Paperback,288,2020,2020,,2024/03/24,to-read,to-read (#53),to-read,,,,0,0
